onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.042	8.777	6.042	4	10.05	4.777	1	4.777	42	69
22.595	15	22.595	5	27.604	10	0	7.331	336	24
39.628	9.399	39.628	5	44.637	4.399	1	4.399	112	61
56.18	15	56.18	5	61.19	10	0	9.418	252	50
73.213	12.127	73.213	3	76.219	9.127	1	9.127	84	68
89.765	10.596	89.765	4	93.773	6.596	1	6.596	56	68
106.317	8.829	106.317	4	110.325	4.829	1	4.829	280	56
123.845	10.825	123.845	3	126.85	7.825	1	7.825	154	60
140.397	8.291	140.397	3	143.403	5.291	1	5.291	70	70
157.43	11.911	157.43	5	162.44	6.911	1	6.911	168	59
174.957	13	174.957	3	177.963	10	0	8.554	210	61
192.485	15	192.485	5	197.494	10	0	8.861	224	52
210.266	9.015	210.266	5	215.276	4.015	1	4.015	182	60
227.299	8.483	227.299	4	231.307	4.483	1	4.483	140	64
244.332	15	244.332	5	249.342	10	0	9.792	364	21
261.365	13.395	261.365	4	265.373	9.395	1	9.395	350	23
278.893	9.142	278.893	3	281.898	6.142	1	6.142	98	63
296.42	8.028	296.42	5	301.43	3.028	1	3.028	196	59
313.947	7.718	313.947	4	317.955	3.718	1	3.718	28	70
331.475	8.873	331.475	5	336.485	3.873	1	3.873	126	63
348.508	12.781	348.508	4	352.516	8.781	1	8.781	14	72
365.06	13	365.06	3	368.066	10	0	8.556	322	25
382.587	6.676	382.587	3	385.593	3.676	1	3.676	238	52
400.115	11.404	400.115	3	403.121	8.404	1	8.404	266	54
416.667	14	416.667	4	420.675	10	0	9.558	308	24
433.219	10.4	433.219	3	436.225	7.4	1	7.4	294	49
