onset	duration	q_onset	q_duration	r_onset	r_duration	activesubmit	RT	Delay	Rating
6.521	9.554	6.521	4	10.529	5.554	1	5.554	350	45
23.073	12.996	23.073	5	28.083	7.996	1	7.996	252	35
40.601	13	40.601	3	43.607	10	0	9.083	210	30
57.153	13.524	57.153	4	61.161	9.524	1	9.524	308	34
74.186	8.823	74.186	4	78.194	4.823	1	4.823	140	49
91.713	9.379	91.713	3	94.719	6.379	1	6.379	238	29
108.266	8.799	108.266	3	111.271	5.799	1	5.799	294	33
125.299	15	125.299	5	130.308	10	0	9.965	182	29
142.826	6.687	142.826	3	145.832	3.687	1	3.687	98	67
160.354	12.294	160.354	5	165.363	7.294	1	7.294	196	43
177.387	10.014	177.387	5	182.396	5.014	1	5.014	168	37
193.939	15	193.939	5	198.949	10	0	9.969	336	25
210.972	9.456	210.972	3	213.978	6.456	1	6.456	84	42
227.524	3.805	227.524	3	230.53	0.805	1	0.805	70	75
245.051	4.15	245.051	4	249.059	0.15	1	0.15	28	75
262.085	4.29	262.085	4	266.092	0.29	1	0.29	14	75
278.637	6.496	278.637	4	282.644	2.496	1	2.496	56	62
296.164	9.744	296.164	3	299.17	6.744	1	6.744	154	43
312.716	11.965	312.716	3	315.722	8.965	1	8.965	322	33
329.749	13.372	329.749	5	334.759	8.372	1	8.372	112	58
347.277	9.831	347.277	3	350.283	6.831	1	6.831	266	30
363.829	5.254	363.829	4	367.837	1.254	1	1.254	42	73
380.862	11.567	380.862	5	385.872	6.567	1	6.567	364	20
398.389	11.095	398.389	5	403.399	6.095	1	6.095	126	50
415.917	10.928	415.917	5	420.927	5.928	1	5.928	224	33
432.469	11.374	432.469	4	436.477	7.374	1	7.374	280	29
